,Correlation
Session_Duration (hours),0.008384969669754688
Max_BPM,-0.012417195121132436
Avg_BPM,0.050595667869036236
Fat_Percentage,0.023798562023257544
Workout_Frequency (days/week),-0.007417239524371299
